TIPO	PADRE	DESCRIPCION	VALOR
CLAVE		Adidas	101
LITERAL	Adidas	-adidas	1
LITERAL	Adidas	Adidas	11
CLAVE		Ahorramas	102
LITERAL	Ahorramas	Ahorram?s	0
LITERAL	Ahorramas	Ahorramas	4
LITERAL	Ahorramas	Ahorrar?s	1
CLAVE		Alcampo	103
LITERAL	Alcampo	Al campo	1
LITERAL	Alcampo	Alcampo	5
LITERAL	Alcampo	-alcampo	1
CLAVE		Aldi	104
LITERAL	Aldi	Aldi	5
LITERAL	Aldi	-Aldy	1
CLAVE		Aliexpress	105
LITERAL	Aliexpress	Aliexpress	5
CLAVE		amazon	106
LITERAL	amazon	amazon-	1
LITERAL	amazon	-amazon	4
LITERAL	amazon	Amazon	96
CLAVE		AMSTEL	107
LITERAL	AMSTEL	AMSTEL	4
CLAVE		Apple	108
LITERAL	Apple	-apple	2
LITERAL	Apple	Apple	8
CLAVE		Ariel	109
LITERAL	Ariel	-ariel	2
LITERAL	Ariel	Ariel	3
CLAVE		Asevi	110
LITERAL	Asevi	-Asevi	1
LITERAL	Asevi	Asevi	8
CLAVE		audi	111
LITERAL	audi	audi	1
CLAVE		Bimbo	112
LITERAL	Bimbo	-bimbo	1
LITERAL	Bimbo	Bimbo	4
CLAVE		Burger King	113
LITERAL	Burger King	Burger King	2
LITERAL	Burger King	Burguer King	1
CLAVE		Campofrio	114
LITERAL	Campofrio	Campo frio	1
LITERAL	Campofrio	Campofrio	2
LITERAL	Campofrio	-campofrio	1
CLAVE		Carrefour	115
LITERAL	Carrefour	-carrefour	6
LITERAL	Carrefour	carrefour	48
LITERAL	Carrefour	Carrefur	1
CLAVE		Coca cola	116
LITERAL	Coca cola	-coca cola	2
LITERAL	Coca cola	-cocacola	1
LITERAL	Coca cola	Coca cola	5
LITERAL	Coca cola	Cocacola	8
LITERAL	Coca cola	-coca-cola	2
LITERAL	Coca cola	Coca-Cola	6
CLAVE		Cola Cao	117
LITERAL	Cola Cao	Cola cao	1
LITERAL	Cola Cao	Colacao	1
LITERAL	Cola Cao	-colacao	1
CLAVE		Consum	118
LITERAL	Consum	- Consum	1
LITERAL	Consum	-consum	9
LITERAL	Consum	-charter	1
LITERAL	Consum	Comsum	2
LITERAL	Consum	Consum	78
LITERAL	Consum	-consun	1
LITERAL	Consum	Consun	1
CLAVE		Correos	119
LITERAL	Correos	Correos	4
CLAVE		Cruz Roja	120
LITERAL	Cruz Roja	-cruz roja	1
LITERAL	Cruz Roja	Cruz roja	3
CLAVE		Danone	121
LITERAL	Danone	-danone	4
LITERAL	Danone	Danone	10
CLAVE		Decathlon	122
LITERAL	Decathlon	-decathlon	1
LITERAL	Decathlon	Decathlon	7
LITERAL	Decathlon	Decatl?n -	1
LITERAL	Decathlon	Decatl?n	1
CLAVE		Dia	123
LITERAL	Dia	Dia	5
LITERAL	Dia	-dia	2
CLAVE		Druni	124
